concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
30, 234.1, 102, 127.64, 1939, 141.0, 157.0, 288.38, 127.64, 1939, 4682, 0, 0, 0, 0, 0, 4682
60, 560.55, 102, 106.7, 203, 111.0, 114.0, 125.0, 106.7, 203, 11211, 0, 0, 0, 0, 0, 11211
90, 845.15, 102, 106.18, 234, 109.0, 114.0, 139.0, 106.18, 234, 16903, 0, 0, 0, 0, 0, 16903
120, 1019.0, 102, 117.38, 260, 137.0, 151.0, 179.0, 117.38, 260, 20380, 0, 0, 0, 0, 0, 20380
150, 1034.35, 103, 144.53, 474, 168.0, 182.0, 231.0, 144.53, 474, 20687, 0, 0, 0, 0, 0, 20687
180, 1022.45, 114, 175.25, 332, 203.0, 217.0, 248.0, 175.25, 332, 20449, 0, 0, 0, 0, 0, 20449
210, 1014.5, 112, 205.87, 419, 241.0, 259.0, 298.0, 205.87, 419, 20290, 0, 0, 0, 0, 0, 20290
240, 1012.2, 110, 235.53, 417, 273.7, 289.0, 323.0, 235.53, 417, 20244, 0, 0, 0, 0, 0, 20244
270, 1008.8, 109, 265.65, 503, 298.0, 314.0, 343.25, 265.65, 503, 20176, 0, 0, 0, 0, 0, 20176
300, 1044.35, 110, 284.92, 568, 325.0, 343.0, 501.0, 284.9, 568, 20887, 0, 0, 3, 3, 573, 21460
330, 1017.3, 123, 321.68, 575, 350.0, 364.0, 414.0, 321.68, 575, 20346, 0, 0, 0, 0, 0, 20346
360, 1017.1, 116, 350.72, 515, 381.0, 398.0, 434.0, 350.72, 515, 20342, 0, 0, 0, 0, 0, 20342
390, 1016.2, 122, 379.92, 540, 410.0, 424.0, 456.0, 379.92, 540, 20324, 0, 0, 0, 0, 0, 20324
420, 1013.9, 132, 410.26, 590, 444.0, 459.0, 488.0, 410.26, 590, 20278, 0, 0, 0, 0, 0, 20278
450, 1010.95, 145, 440.05, 718, 486.0, 512.0, 553.0, 440.05, 718, 20219, 0, 0, 0, 0, 0, 20219
480, 1012.6, 148, 468.11, 668, 508.0, 535.45, 584.0, 468.11, 668, 20252, 0, 0, 0, 0, 0, 20252
510, 1011.05, 147, 497.46, 781, 537.0, 556.0, 702.0, 497.46, 781, 20221, 0, 0, 0, 0, 0, 20221
540, 1010.2, 157, 527.3, 720, 563.0, 585.0, 623.0, 527.3, 720, 20204, 0, 0, 0, 0, 0, 20204
570, 1010.35, 167, 555.95, 729, 585.0, 597.0, 631.0, 555.95, 729, 20207, 0, 0, 0, 0, 0, 20207
600, 1006.4, 216, 587.07, 796, 618.0, 634.0, 670.0, 587.07, 796, 20128, 0, 0, 0, 0, 0, 20128
