concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
30, 253.7, 102, 118.02, 1436, 122.7, 136.0, 218.0, 118.02, 1436, 5074, 0, 0, 0, 0, 0, 5074
60, 569.4, 101, 105.02, 171, 108.0, 112.0, 126.0, 105.02, 171, 11388, 0, 0, 0, 0, 0, 11388
90, 861.2, 101, 104.21, 192, 105.0, 108.0, 127.0, 104.21, 192, 17224, 0, 0, 0, 0, 0, 17224
120, 1060.9, 102, 112.67, 224, 126.0, 134.0, 156.0, 112.67, 224, 21218, 0, 0, 0, 0, 0, 21218
150, 1021.1, 101, 146.32, 318, 175.0, 189.0, 221.0, 146.32, 318, 20422, 0, 0, 0, 0, 0, 20422
180, 1009.7, 105, 177.42, 343, 204.0, 217.0, 250.0, 177.42, 343, 20194, 0, 0, 0, 0, 0, 20194
210, 1005.2, 116, 207.78, 372, 234.0, 248.0, 283.0, 207.78, 372, 20104, 0, 0, 0, 0, 0, 20104
240, 1006.2, 108, 237.0, 420, 262.0, 275.0, 306.0, 237.0, 420, 20124, 0, 0, 0, 0, 0, 20124
270, 999.35, 111, 268.28, 442, 295.0, 309.0, 343.0, 268.28, 442, 19987, 0, 0, 0, 0, 0, 19987
300, 1009.7, 113, 294.82, 569, 329.0, 342.0, 373.07, 294.82, 569, 20194, 0, 0, 0, 0, 0, 20194
330, 1009.1, 114, 324.15, 490, 350.0, 362.0, 394.0, 324.15, 490, 20182, 0, 0, 0, 0, 0, 20182
360, 1009.65, 114, 353.29, 529, 382.0, 399.0, 437.0, 353.29, 529, 20193, 0, 0, 0, 0, 0, 20193
390, 1010.15, 119, 382.28, 534, 410.0, 423.0, 454.0, 382.28, 534, 20203, 0, 0, 0, 0, 0, 20203
420, 1009.7, 111, 411.5, 574, 438.0, 452.0, 482.0, 411.5, 574, 20194, 0, 0, 0, 0, 0, 20194
450, 1001.25, 105, 444.29, 612, 473.0, 486.0, 518.0, 444.29, 612, 20025, 0, 0, 0, 0, 0, 20025
480, 1007.25, 112, 470.77, 654, 502.0, 515.0, 546.0, 470.77, 654, 20145, 0, 0, 0, 0, 0, 20145
510, 1010.25, 125, 498.32, 724, 527.0, 540.0, 570.0, 498.32, 724, 20205, 0, 0, 0, 0, 0, 20205
540, 1007.25, 120, 528.67, 729, 557.0, 571.0, 603.56, 528.67, 729, 20145, 0, 0, 0, 0, 0, 20145
570, 1015.15, 120, 553.32, 741, 591.0, 604.0, 633.0, 553.32, 741, 20303, 0, 0, 0, 0, 0, 20303
600, 1008.45, 119, 585.77, 810, 650.0, 668.0, 705.32, 585.77, 810, 20169, 0, 0, 0, 0, 0, 20169
