concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
50, 20863.9, 0, 2.03, 60, 4.0, 9.0, 15.0, 2.03, 60, 208639, 0, 0, 0, 0, 0, 208639
100, 33907.2, 0, 1.45, 21, 2.0, 2.0, 10.0, 1.45, 21, 339072, 0, 0, 0, 0, 0, 339072
150, 34500.8, 0, 1.62, 36, 2.0, 2.0, 3.0, 1.62, 36, 345008, 0, 0, 0, 0, 0, 345008
200, 34517.7, 0, 2.08, 29, 3.0, 3.0, 4.0, 2.08, 29, 345177, 0, 0, 0, 0, 0, 345177
250, 34624.7, 0, 2.49, 38, 3.0, 4.0, 5.0, 2.49, 38, 346247, 0, 0, 0, 0, 0, 346247
300, 34456.3, 0, 2.96, 27, 4.0, 4.0, 5.0, 2.96, 27, 344563, 0, 0, 0, 0, 0, 344563
350, 34458.6, 0, 3.4, 22, 4.0, 5.0, 6.0, 3.4, 22, 344586, 0, 0, 0, 0, 0, 344586
400, 34375.4, 0, 3.91, 18, 5.0, 5.0, 7.0, 3.91, 18, 343754, 0, 0, 0, 0, 0, 343754
450, 34284.6, 0, 4.37, 14, 6.0, 6.0, 7.0, 4.37, 14, 342846, 0, 0, 0, 0, 0, 342846
500, 34328.7, 0, 4.89, 25, 6.0, 7.0, 8.0, 4.89, 25, 343287, 0, 0, 0, 0, 0, 343287
550, 34242.6, 1, 5.25, 38, 7.0, 7.0, 8.0, 5.25, 38, 342426, 0, 0, 0, 0, 0, 342426
600, 34256.5, 0, 5.8, 17, 7.0, 8.0, 9.0, 5.8, 17, 342565, 0, 0, 0, 0, 0, 342565
650, 34162.8, 1, 6.27, 33, 8.0, 8.0, 10.0, 6.27, 33, 341628, 0, 0, 0, 0, 0, 341628
700, 34077.5, 0, 6.68, 21, 8.0, 9.0, 11.0, 6.68, 21, 340775, 0, 0, 0, 0, 0, 340775
750, 34029.7, 0, 7.18, 36, 9.0, 10.0, 12.0, 7.18, 36, 340297, 0, 0, 0, 0, 0, 340297
800, 33941.7, 0, 7.7, 20, 10.0, 10.0, 12.0, 7.7, 20, 339417, 0, 0, 0, 0, 0, 339417
850, 33742.9, 1, 8.17, 37, 10.0, 11.0, 13.0, 8.17, 37, 337429, 0, 0, 0, 0, 0, 337429
900, 33723.9, 1, 8.63, 38, 11.0, 11.0, 14.0, 8.63, 38, 337239, 0, 0, 0, 0, 0, 337239
950, 33725.1, 0, 9.06, 23, 11.0, 12.0, 14.0, 9.06, 23, 337251, 0, 0, 0, 0, 0, 337251
1000, 33673.6, 0, 9.54, 25, 12.0, 12.0, 14.0, 9.54, 25, 336736, 0, 0, 0, 0, 0, 336736
