concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
50, 4810.8, 1, 10.31, 89, 21.0, 25.0, 38.0, 10.31, 89, 48108, 0, 0, 0, 0, 0, 48108
100, 7117.9, 1, 14.01, 63, 24.0, 26.0, 34.0, 14.01, 63, 71179, 0, 0, 0, 0, 0, 71179
150, 13678.0, 0, 10.92, 64, 22.0, 26.0, 34.0, 10.92, 64, 136780, 0, 0, 0, 0, 0, 136780
200, 25092.2, 1, 7.93, 53, 15.0, 18.0, 23.0, 7.93, 53, 250922, 0, 0, 0, 0, 0, 250922
250, 25349.4, 1, 9.81, 36, 18.0, 20.0, 25.0, 9.81, 36, 253494, 0, 0, 0, 0, 0, 253494
300, 25152.8, 0, 11.88, 62, 20.0, 22.0, 28.0, 11.88, 62, 251528, 0, 0, 0, 0, 0, 251528
350, 25252.2, 1, 13.8, 46, 22.0, 25.0, 30.0, 13.8, 46, 252522, 0, 0, 0, 0, 0, 252522
400, 25234.9, 0, 15.79, 64, 26.0, 28.0, 34.0, 15.79, 64, 252349, 0, 0, 0, 0, 0, 252349
450, 25142.6, 0, 17.82, 86, 28.0, 31.0, 37.0, 17.82, 86, 251426, 0, 0, 0, 0, 0, 251426
500, 25165.3, 0, 19.78, 66, 30.0, 34.0, 39.0, 19.78, 66, 251653, 0, 0, 0, 0, 0, 251653
550, 25009.6, 0, 21.91, 95, 34.0, 36.0, 43.0, 21.91, 95, 250096, 0, 0, 0, 0, 0, 250096
600, 24911.6, 1, 23.98, 65, 37.0, 40.0, 46.0, 23.98, 65, 249116, 0, 0, 0, 0, 0, 249116
650, 24709.5, 1, 26.19, 82, 40.0, 43.0, 50.0, 26.19, 82, 247095, 0, 0, 0, 0, 0, 247095
700, 24481.0, 0, 28.46, 80, 44.0, 47.0, 54.0, 28.46, 80, 244810, 0, 0, 0, 0, 0, 244810
750, 24275.1, 0, 30.73, 83, 48.0, 51.0, 58.0, 30.73, 83, 242751, 0, 0, 0, 0, 0, 242751
800, 24372.0, 1, 32.69, 109, 51.0, 52.0, 60.0, 32.69, 109, 243720, 0, 0, 0, 0, 0, 243720
850, 24379.3, 0, 34.7, 95, 52.0, 56.0, 65.0, 34.7, 95, 243793, 0, 0, 0, 0, 0, 243793
900, 24328.9, 0, 36.83, 151, 56.0, 59.0, 68.0, 36.83, 151, 243289, 0, 0, 0, 0, 0, 243289
950, 24311.5, 0, 38.86, 101, 60.0, 64.0, 76.0, 38.86, 101, 243115, 0, 0, 0, 0, 0, 243115
1000, 24290.3, 0, 40.9, 109, 63.0, 67.0, 80.0, 40.9, 109, 242903, 0, 0, 0, 0, 0, 242903
