concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
50, 460.6, 100, 107.54, 492, 107.0, 114.0, 442.8, 107.54, 492, 4606, 0, 0, 0, 0, 0, 4606
100, 977.3, 100, 101.78, 164, 102.0, 104.0, 115.0, 101.78, 164, 9773, 0, 0, 0, 0, 0, 9773
150, 1463.9, 100, 101.96, 164, 103.0, 104.0, 112.0, 101.96, 164, 14639, 0, 0, 0, 0, 0, 14639
200, 1950.7, 100, 101.86, 148, 103.0, 104.0, 111.0, 101.86, 148, 19507, 0, 0, 0, 0, 0, 19507
250, 2427.6, 100, 102.4, 156, 104.0, 105.0, 110.0, 102.4, 156, 24276, 0, 0, 0, 0, 0, 24276
300, 2896.3, 100, 102.98, 176, 105.0, 107.0, 118.0, 102.98, 176, 28963, 0, 0, 0, 0, 0, 28963
350, 3367.4, 100, 103.33, 170, 106.0, 108.0, 117.0, 103.33, 170, 33674, 0, 0, 0, 0, 0, 33674
400, 3803.2, 100, 104.7, 176, 110.0, 112.0, 118.0, 104.7, 176, 38032, 0, 0, 0, 0, 0, 38032
450, 4298.7, 100, 104.07, 175, 107.0, 108.0, 120.0, 104.07, 175, 42987, 0, 0, 0, 0, 0, 42987
500, 4659.7, 100, 106.68, 182, 112.0, 115.0, 126.0, 106.68, 182, 46597, 0, 0, 0, 0, 0, 46597
550, 4695.6, 102, 116.32, 216, 122.0, 125.0, 136.0, 116.32, 216, 46956, 0, 0, 0, 0, 0, 46956
600, 4681.3, 102, 127.29, 225, 136.0, 141.0, 150.0, 127.29, 225, 46813, 0, 0, 0, 0, 0, 46813
650, 4672.9, 102, 138.08, 242, 150.0, 154.0, 167.0, 138.08, 242, 46729, 0, 0, 0, 0, 0, 46729
700, 4693.1, 102, 147.99, 243, 162.0, 166.0, 174.0, 147.99, 243, 46931, 0, 0, 0, 0, 0, 46931
750, 4672.9, 102, 158.79, 241, 175.0, 179.0, 187.0, 158.79, 241, 46729, 0, 0, 0, 0, 0, 46729
800, 4703.0, 102, 168.45, 254, 181.0, 184.0, 191.71, 168.45, 254, 47030, 0, 0, 0, 0, 0, 47030
850, 4671.9, 102, 180.02, 283, 195.0, 198.0, 206.0, 180.02, 283, 46719, 0, 0, 0, 0, 0, 46719
900, 4686.2, 103, 190.08, 279, 202.0, 206.0, 213.0, 190.08, 279, 46862, 0, 0, 0, 0, 0, 46862
950, 4669.8, 102, 201.17, 293, 212.0, 217.0, 228.0, 201.17, 293, 46698, 0, 0, 0, 0, 0, 46698
1000, 4665.0, 102, 211.83, 314, 220.0, 224.0, 235.0, 211.83, 314, 46650, 0, 0, 0, 0, 0, 46650
