concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
50, 474.45, 100, 104.86, 455, 106.0, 110.0, 168.12, 104.86, 455, 9489, 0, 0, 0, 0, 0, 9489
100, 981.2, 100, 101.59, 149, 102.0, 103.0, 108.0, 101.59, 149, 19624, 0, 0, 0, 0, 0, 19624
150, 1469.95, 100, 101.69, 143, 103.0, 104.0, 107.0, 101.69, 143, 29399, 0, 0, 0, 0, 0, 29399
200, 1952.1, 100, 102.11, 307, 104.0, 105.0, 109.0, 102.11, 307, 39042, 0, 0, 0, 0, 0, 39042
250, 2430.05, 100, 102.57, 155, 105.0, 106.0, 112.0, 102.57, 155, 48601, 0, 0, 0, 0, 0, 48601
300, 2903.05, 100, 103.06, 148, 106.0, 107.0, 115.0, 103.06, 148, 58061, 0, 0, 0, 0, 0, 58061
350, 3367.15, 100, 103.62, 154, 107.0, 109.0, 118.0, 103.62, 154, 67343, 0, 0, 0, 0, 0, 67343
400, 3762.6, 100, 106.02, 163, 112.0, 115.0, 124.0, 106.02, 163, 75252, 0, 0, 0, 0, 0, 75252
450, 4153.75, 100, 107.97, 311, 116.0, 120.0, 138.0, 107.97, 311, 83075, 0, 0, 0, 0, 0, 83075
500, 4613.3, 100, 107.92, 171, 115.0, 119.0, 129.0, 107.92, 171, 92266, 0, 0, 0, 0, 0, 92266
550, 4696.8, 101, 116.69, 216, 124.0, 129.0, 140.0, 116.69, 216, 93936, 0, 0, 0, 0, 0, 93936
600, 4717.1, 101, 126.72, 211, 136.0, 140.0, 151.0, 126.72, 211, 94342, 0, 0, 0, 0, 0, 94342
650, 4698.2, 101, 137.75, 233, 150.0, 153.0, 164.0, 137.75, 233, 93964, 0, 0, 0, 0, 0, 93964
700, 4707.2, 101, 148.03, 244, 160.0, 163.0, 172.0, 148.03, 244, 94144, 0, 0, 0, 0, 0, 94144
750, 4694.6, 102, 159.03, 265, 171.0, 174.0, 183.0, 159.03, 265, 93892, 0, 0, 0, 0, 0, 93892
800, 4661.75, 103, 170.8, 285, 184.0, 187.0, 198.0, 170.8, 285, 93235, 0, 0, 0, 0, 0, 93235
850, 4644.4, 101, 182.06, 286, 197.0, 202.0, 215.0, 182.06, 286, 92888, 0, 0, 0, 0, 0, 92888
900, 4649.55, 101, 192.35, 287, 207.0, 212.0, 224.0, 192.35, 287, 92991, 0, 0, 0, 0, 0, 92991
950, 4661.2, 101, 202.64, 296, 216.0, 222.0, 234.0, 202.64, 296, 93224, 0, 0, 0, 0, 0, 93224
1000, 4644.1, 101, 214.11, 326, 228.0, 234.0, 247.0, 214.11, 326, 92882, 0, 0, 0, 0, 0, 92882
