concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
30, 2496.35, 1, 11.98, 1430, 21.0, 30.0, 54.0, 11.98, 1430, 49927, 0, 0, 0, 0, 0, 49927
60, 9663.5, 3, 6.17, 31, 8.0, 11.0, 15.0, 6.17, 31, 193270, 0, 0, 0, 0, 0, 193270
90, 10147.65, 5, 8.83, 36, 10.0, 11.0, 14.0, 8.83, 36, 202953, 0, 0, 0, 0, 0, 202953
120, 10007.3, 2, 11.94, 33, 14.0, 15.0, 16.0, 11.94, 33, 200146, 0, 0, 0, 0, 0, 200146
150, 9878.75, 7, 15.14, 26, 17.0, 18.0, 20.0, 15.14, 26, 197575, 0, 0, 0, 0, 0, 197575
180, 9800.9, 6, 18.32, 33, 21.0, 21.0, 23.0, 18.32, 33, 196018, 0, 0, 0, 0, 0, 196018
210, 9724.35, 7, 21.54, 32, 24.0, 25.0, 27.0, 21.54, 32, 194487, 0, 0, 0, 0, 0, 194487
240, 9671.1, 7, 24.76, 37, 27.0, 28.0, 31.0, 24.76, 37, 193422, 0, 0, 0, 0, 0, 193422
270, 9669.45, 7, 27.86, 43, 31.0, 32.0, 34.0, 27.86, 43, 193389, 0, 0, 0, 0, 0, 193389
300, 9829.1, 6, 30.46, 44, 34.0, 35.0, 37.0, 30.46, 44, 196582, 0, 0, 0, 0, 0, 196582
330, 9440.4, 6, 34.88, 46, 38.0, 39.0, 42.0, 34.88, 46, 188808, 0, 0, 0, 0, 0, 188808
360, 9270.2, 12, 38.75, 55, 43.0, 44.0, 47.0, 38.75, 55, 185404, 0, 0, 0, 0, 0, 185404
390, 9082.6, 8, 42.84, 80, 47.0, 48.0, 51.0, 42.84, 80, 181652, 0, 0, 0, 0, 0, 181652
420, 9346.35, 7, 44.84, 57, 49.0, 50.0, 52.0, 44.84, 57, 186927, 0, 0, 0, 0, 0, 186927
450, 9381.75, 13, 47.85, 78, 52.0, 53.0, 55.0, 47.85, 78, 187635, 0, 0, 0, 0, 0, 187635
480, 9128.55, 5, 52.46, 70, 57.0, 58.0, 61.0, 52.46, 70, 182571, 0, 0, 0, 0, 0, 182571
510, 9141.2, 15, 55.66, 73, 61.0, 62.0, 65.0, 55.66, 73, 182824, 0, 0, 0, 0, 0, 182824
540, 9152.3, 11, 58.86, 76, 64.0, 66.0, 68.0, 58.86, 76, 183046, 0, 0, 0, 0, 0, 183046
570, 9171.05, 8, 61.99, 80, 68.0, 69.0, 71.0, 61.99, 80, 183421, 0, 0, 0, 0, 0, 183421
600, 9255.45, 6, 64.66, 79, 70.0, 71.0, 73.0, 64.66, 79, 185109, 0, 0, 0, 0, 0, 185109
