concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
30, 685.7, 5, 42.06, 4300, 54.0, 71.0, 156.08, 42.06, 4300, 6857, 0, 0, 0, 0, 0, 6857
60, 1220.5, 13, 48.9, 2734, 55.0, 59.0, 65.0, 48.9, 2734, 12205, 0, 0, 0, 0, 0, 12205
90, 1688.8, 13, 52.54, 3040, 64.0, 68.0, 76.0, 52.54, 3040, 16888, 0, 0, 0, 0, 0, 16888
120, 1942.0, 13, 59.69, 3205, 80.0, 85.0, 90.0, 59.69, 3205, 19420, 0, 0, 0, 0, 0, 19420
150, 2286.8, 16, 64.73, 3445, 74.0, 77.0, 84.0, 64.73, 3445, 22868, 0, 0, 0, 0, 0, 22868
180, 5644.4, 4, 31.8, 833, 41.0, 47.0, 86.0, 31.8, 833, 56444, 0, 0, 0, 0, 0, 56444
210, 6067.9, 3, 34.48, 304, 42.0, 45.0, 98.0, 34.48, 304, 60679, 0, 0, 0, 0, 0, 60679
240, 6064.5, 5, 39.44, 337, 48.0, 53.0, 105.0, 39.44, 337, 60645, 0, 0, 0, 0, 0, 60645
270, 5921.1, 10, 45.25, 268, 54.0, 59.0, 123.0, 45.25, 268, 59211, 0, 0, 0, 0, 0, 59211
300, 6003.0, 13, 49.78, 389, 59.0, 65.0, 163.0, 49.78, 389, 60030, 0, 0, 0, 0, 0, 60030
330, 5929.1, 23, 55.35, 319, 65.0, 71.0, 137.0, 55.35, 319, 59291, 0, 0, 0, 0, 0, 59291
360, 5906.0, 1, 60.69, 318, 72.0, 78.0, 184.0, 60.69, 318, 59060, 0, 0, 0, 0, 0, 59060
390, 5947.7, 10, 65.18, 445, 75.0, 82.0, 225.0, 65.18, 445, 59477, 0, 0, 0, 0, 0, 59477
420, 5898.6, 5, 70.8, 550, 81.0, 88.0, 190.0, 70.8, 550, 58986, 0, 0, 0, 0, 0, 58986
450, 5939.1, 14, 75.29, 371, 86.0, 93.0, 246.1, 75.29, 371, 59391, 0, 0, 0, 0, 0, 59391
480, 5922.7, 2, 80.6, 654, 92.0, 99.0, 197.0, 80.6, 654, 59227, 0, 0, 0, 0, 0, 59227
510, 5906.3, 19, 85.83, 472, 97.0, 104.0, 191.0, 85.83, 472, 59063, 0, 0, 0, 0, 0, 59063
540, 5962.6, 13, 90.02, 454, 104.0, 114.0, 218.0, 90.02, 454, 59626, 0, 0, 0, 0, 0, 59626
570, 5936.9, 15, 95.42, 433, 110.0, 123.0, 302.0, 95.42, 433, 59369, 0, 0, 0, 0, 0, 59369
600, 5929.3, 11, 100.44, 436, 114.0, 124.0, 230.0, 100.44, 436, 59293, 0, 0, 0, 0, 0, 59293
