concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
50, 2938.1, 5, 16.95, 219, 30.0, 34.0, 52.0, 16.95, 219, 58762, 0, 0, 0, 0, 0, 58762
100, 3659.25, 6, 27.25, 116, 28.0, 33.0, 54.0, 27.25, 116, 73185, 0, 0, 0, 0, 0, 73185
150, 3730.95, 2, 40.1, 104, 42.0, 43.0, 78.0, 40.1, 104, 74619, 0, 0, 0, 0, 0, 74619
200, 3680.4, 9, 54.19, 122, 56.0, 57.0, 104.0, 54.19, 122, 73608, 0, 0, 0, 0, 0, 73608
250, 3681.3, 1, 67.7, 149, 70.0, 70.0, 74.0, 67.7, 149, 73626, 0, 0, 0, 0, 0, 73626
300, 3674.0, 4, 81.4, 184, 83.0, 84.0, 89.0, 81.4, 184, 73480, 0, 0, 0, 0, 0, 73480
350, 3656.65, 2, 95.39, 231, 97.0, 98.0, 118.0, 95.39, 231, 73133, 0, 0, 0, 0, 0, 73133
400, 3669.85, 3, 108.61, 240, 110.0, 111.0, 122.0, 108.61, 240, 73397, 0, 0, 0, 0, 0, 73397
450, 3673.25, 2, 122.03, 261, 124.0, 125.0, 128.0, 122.03, 261, 73465, 0, 0, 0, 0, 0, 73465
500, 3669.6, 2, 135.56, 281, 138.0, 139.0, 146.0, 135.56, 281, 73392, 0, 0, 0, 0, 0, 73392
550, 3667.2, 1, 149.26, 310, 152.0, 153.0, 156.0, 149.26, 310, 73344, 0, 0, 0, 0, 0, 73344
600, 3669.9, 1, 162.64, 342, 165.0, 166.0, 173.0, 162.64, 342, 73398, 0, 0, 0, 0, 0, 73398
650, 3664.85, 3, 176.41, 370, 179.0, 180.0, 191.0, 176.41, 370, 73297, 0, 0, 0, 0, 0, 73297
700, 3662.15, 3, 190.05, 400, 193.0, 194.0, 203.0, 190.05, 400, 73243, 0, 0, 0, 0, 0, 73243
750, 3482.4, 4, 214.04, 444, 218.0, 220.0, 228.0, 214.04, 444, 69648, 0, 0, 0, 0, 0, 69648
800, 3466.75, 5, 229.26, 471, 233.0, 235.0, 242.0, 229.26, 471, 69335, 0, 0, 0, 0, 0, 69335
850, 3476.8, 1, 242.55, 506, 247.0, 248.0, 254.0, 242.55, 506, 69536, 0, 0, 0, 0, 0, 69536
900, 3469.75, 2, 257.42, 534, 261.0, 264.0, 297.0, 257.42, 534, 69395, 0, 0, 0, 0, 0, 69395
950, 3464.75, 2, 272.1, 561, 277.0, 279.0, 285.0, 272.1, 561, 69295, 0, 0, 0, 0, 0, 69295
1000, 3469.4, 1, 285.8, 591, 292.0, 293.0, 302.0, 285.8, 591, 69388, 0, 0, 0, 0, 0, 69388
