concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
50, 2208.6, 3, 22.55, 194, 34.0, 40.0, 56.0, 22.55, 194, 44172, 0, 0, 0, 0, 0, 44172
100, 3319.6, 1, 30.04, 101, 45.0, 49.0, 58.0, 30.04, 101, 66392, 0, 0, 0, 0, 0, 66392
150, 3861.35, 2, 38.75, 85, 47.0, 51.0, 62.0, 38.75, 85, 77227, 0, 0, 0, 0, 0, 77227
200, 3851.05, 2, 51.8, 126, 61.0, 66.0, 75.0, 51.8, 126, 77021, 0, 0, 0, 0, 0, 77021
250, 3836.9, 2, 64.95, 114, 74.0, 78.0, 89.0, 64.95, 114, 76738, 0, 0, 0, 0, 0, 76738
300, 3815.0, 0, 78.33, 132, 90.0, 95.0, 106.0, 78.33, 132, 76300, 0, 0, 0, 0, 0, 76300
350, 3822.85, 1, 91.26, 191, 105.0, 112.0, 125.0, 91.26, 191, 76457, 0, 0, 0, 0, 0, 76457
400, 3815.25, 2, 104.46, 174, 119.0, 125.0, 139.0, 104.46, 174, 76305, 0, 0, 0, 0, 0, 76305
450, 3814.0, 3, 117.54, 261, 131.0, 137.0, 150.0, 117.54, 261, 76280, 0, 0, 0, 0, 0, 76280
500, 3810.7, 2, 130.66, 187, 143.0, 148.0, 161.0, 130.66, 187, 76214, 0, 0, 0, 0, 0, 76214
550, 3801.4, 2, 144.06, 213, 161.0, 169.0, 183.0, 144.06, 213, 76028, 0, 0, 0, 0, 0, 76028
600, 3801.6, 1, 157.08, 308, 175.0, 183.0, 198.0, 157.08, 308, 76032, 0, 0, 0, 0, 0, 76032
650, 3790.85, 2, 170.48, 383, 185.0, 191.0, 206.0, 170.48, 383, 75817, 0, 0, 0, 0, 0, 75817
700, 3789.0, 2, 183.71, 280, 201.0, 208.0, 222.0, 183.71, 280, 75780, 0, 0, 0, 0, 0, 75780
750, 3737.7, 2, 199.48, 283, 224.0, 232.0, 248.0, 199.48, 283, 74754, 0, 0, 0, 0, 0, 74754
800, 3648.95, 1, 217.81, 369, 238.0, 245.0, 264.0, 217.81, 369, 72979, 0, 0, 0, 0, 0, 72979
850, 3633.75, 1, 232.33, 304, 250.0, 260.0, 279.0, 232.33, 304, 72675, 0, 0, 0, 0, 0, 72675
900, 3612.9, 2, 247.33, 334, 268.0, 277.0, 294.0, 247.33, 334, 72258, 0, 0, 0, 0, 0, 72258
950, 3604.8, 1, 261.53, 362, 283.0, 290.0, 305.0, 261.53, 362, 72096, 0, 0, 0, 0, 0, 72096
1000, 3604.4, 1, 275.15, 337, 295.0, 302.0, 318.0, 275.15, 337, 72088, 0, 0, 0, 0, 0, 72088
