concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
30, 132.8, 106, 225.2, 3853, 311.0, 403.0, 3538.3, 225.2, 3853, 2656, 0, 0, 0, 0, 0, 2656
60, 357.05, 111, 167.35, 328, 200.0, 217.0, 255.0, 167.34, 328, 7141, 0, 0, 1, 1, 22, 7163
90, 465.95, 120, 192.24, 341, 230.0, 244.0, 282.0, 192.24, 341, 9319, 0, 0, 0, 0, 0, 9319
120, 519.65, 114, 229.56, 555, 299.0, 344.0, 434.08, 229.56, 555, 10393, 0, 0, 0, 0, 0, 10393
150, 686.8, 124, 217.39, 445, 276.0, 305.0, 368.0, 217.39, 445, 13736, 0, 0, 0, 0, 0, 13736
180, 752.55, 162, 237.16, 426, 300.0, 316.0, 338.0, 237.16, 426, 15051, 0, 0, 0, 0, 0, 15051
210, 476.5, 163, 435.91, 1405, 829.0, 973.0, 1295.71, 435.91, 1405, 9530, 0, 0, 0, 0, 0, 9530
240, 740.2, 163, 321.78, 500, 391.0, 407.0, 438.0, 321.78, 500, 14804, 0, 0, 0, 0, 0, 14804
270, 769.0, 254, 348.24, 569, 415.0, 428.0, 466.0, 348.24, 569, 15380, 0, 0, 0, 0, 0, 15380
300, 678.6, 302, 435.64, 1329, 488.0, 789.0, 1220.0, 435.64, 1329, 13572, 0, 0, 0, 0, 0, 13572
330, 745.15, 226, 438.89, 645, 508.0, 520.0, 555.0, 438.89, 645, 14903, 0, 0, 0, 0, 0, 14903
360, 730.65, 290, 481.75, 667, 557.0, 573.0, 607.0, 481.75, 667, 14613, 0, 0, 0, 0, 0, 14613
390, 623.25, 441, 618.04, 1847, 707.0, 1020.8, 1572.0, 618.04, 1847, 12465, 0, 0, 0, 0, 0, 12465
420, 683.2, 315, 605.75, 843, 679.0, 699.0, 736.0, 605.75, 843, 13664, 0, 0, 0, 0, 0, 13664
450, 629.35, 282, 682.32, 1911, 782.0, 836.0, 1698.7, 682.32, 1911, 12587, 0, 0, 0, 0, 0, 12587
480, 689.45, 338, 684.36, 988, 796.0, 841.0, 908.12, 684.36, 988, 13789, 0, 0, 0, 0, 0, 13789
510, 693.95, 412, 722.74, 1045, 794.0, 815.0, 896.22, 722.74, 1045, 13879, 0, 0, 0, 0, 0, 13879
540, 610.05, 343, 867.58, 2219, 1040.0, 1699.0, 2064.0, 867.58, 2219, 12201, 0, 0, 0, 0, 0, 12201
570, 653.35, 446, 852.99, 1123, 944.0, 971.0, 1039.0, 852.99, 1123, 13067, 0, 0, 0, 0, 0, 13067
600, 664.4, 434, 881.26, 1220, 977.0, 1007.0, 1094.13, 881.26, 1220, 13288, 0, 0, 0, 0, 0, 13288
