concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
30, 137.5, 104, 200.94, 6828, 262.0, 330.0, 2010.2, 216.77, 8062, 2750, 0, 0, 8, 8, 8, 2758
60, 317.25, 104, 187.73, 1056, 315.6, 404.0, 585.56, 187.73, 1056, 6345, 0, 0, 0, 0, 0, 6345
90, 357.2, 120, 196.58, 10510, 181.0, 186.0, 574.25, 219.65, 10639, 7144, 0, 0, 27, 27, 27, 7171
120, 383.45, 118, 309.58, 9189, 347.0, 481.0, 2068.28, 309.58, 9189, 7669, 0, 0, 0, 0, 0, 7669
150, 481.35, 128, 309.11, 1241, 404.0, 436.0, 788.0, 309.11, 1241, 9627, 0, 0, 0, 0, 0, 9627
180, 528.45, 132, 337.61, 1638, 422.0, 459.0, 738.32, 337.61, 1638, 10569, 0, 0, 0, 0, 0, 10569
210, 442.5, 263, 470.51, 2178, 728.0, 829.55, 1398.1, 470.51, 2178, 8850, 0, 0, 0, 0, 0, 8850
240, 610.65, 189, 388.49, 825, 492.0, 509.4, 546.0, 388.49, 825, 12213, 0, 0, 0, 0, 0, 12213
270, 671.8, 157, 398.17, 806, 507.0, 534.0, 596.0, 398.17, 806, 13436, 0, 0, 0, 0, 0, 13436
300, 678.45, 242, 436.32, 1249, 524.0, 610.0, 921.0, 436.32, 1249, 13569, 0, 0, 0, 0, 0, 13569
330, 716.95, 229, 455.5, 872, 543.0, 589.0, 686.0, 455.5, 872, 14339, 0, 0, 0, 0, 0, 14339
360, 720.8, 233, 489.18, 879, 580.0, 597.0, 654.85, 489.18, 879, 14416, 0, 0, 0, 0, 0, 14416
390, 689.05, 405, 558.36, 1667, 639.0, 661.0, 1205.2, 558.36, 1667, 13781, 0, 0, 0, 0, 0, 13781
420, 690.15, 225, 599.76, 1026, 694.0, 716.0, 772.0, 599.76, 1026, 13803, 0, 0, 0, 0, 0, 13803
450, 643.95, 251, 686.23, 1748, 769.0, 885.2, 1601.66, 686.23, 1748, 12879, 0, 0, 0, 0, 0, 12879
480, 725.35, 257, 651.59, 892, 742.0, 762.0, 800.0, 651.59, 892, 14507, 0, 0, 0, 0, 0, 14507
510, 735.0, 356, 680.75, 954, 778.0, 802.0, 853.0, 680.75, 954, 14700, 0, 0, 0, 0, 0, 14700
540, 680.55, 304, 778.64, 2342, 849.0, 1013.0, 2098.0, 778.64, 2342, 13611, 0, 0, 0, 0, 0, 13611
570, 734.1, 302, 762.41, 1064, 856.0, 875.0, 915.19, 762.41, 1064, 14682, 0, 0, 0, 0, 0, 14682
600, 721.0, 291, 814.48, 1339, 936.0, 996.0, 1057.0, 814.48, 1339, 14420, 0, 0, 0, 0, 0, 14420
