concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
50, 9367.55, 0, 5.3, 197, 11.0, 13.0, 26.0, 5.3, 197, 187351, 0, 0, 0, 0, 0, 187351
100, 14998.45, 0, 6.63, 70, 11.0, 12.0, 16.0, 6.63, 70, 299969, 0, 0, 0, 0, 0, 299969
150, 14544.55, 1, 10.27, 231, 15.0, 18.0, 38.0, 10.27, 231, 290891, 0, 0, 0, 0, 0, 290891
200, 16963.6, 1, 11.74, 242, 17.0, 19.0, 23.0, 11.74, 242, 339272, 0, 0, 0, 0, 0, 339272
250, 17633.5, 1, 14.13, 240, 20.0, 22.0, 28.0, 14.13, 240, 352670, 0, 0, 0, 0, 0, 352670
300, 15299.5, 1, 19.55, 285, 26.0, 31.0, 77.11, 19.55, 285, 305990, 0, 0, 0, 0, 0, 305990
350, 18108.85, 2, 19.27, 261, 26.0, 30.0, 40.0, 19.27, 261, 362177, 0, 0, 0, 0, 0, 362177
400, 17299.4, 1, 23.02, 852, 30.0, 36.0, 228.0, 23.02, 852, 345988, 0, 0, 0, 0, 0, 345988
450, 17482.8, 1, 25.67, 563, 33.0, 42.0, 233.0, 25.67, 563, 349656, 0, 0, 0, 0, 0, 349656
500, 17570.65, 1, 28.36, 474, 37.0, 45.0, 237.0, 28.36, 474, 351413, 0, 0, 0, 0, 0, 351413
550, 16033.5, 1, 34.12, 473, 44.0, 72.0, 247.0, 34.12, 473, 320670, 0, 0, 0, 0, 0, 320670
600, 17689.6, 1, 33.81, 917, 44.0, 59.0, 248.0, 33.81, 917, 353792, 0, 0, 0, 0, 0, 353792
650, 16923.0, 1, 38.31, 900, 48.0, 225.0, 257.0, 38.31, 900, 338460, 0, 0, 0, 0, 0, 338460
700, 14429.0, 1, 48.38, 755, 102.0, 241.0, 269.0, 48.38, 755, 288580, 0, 0, 0, 0, 0, 288580
750, 17527.3, 1, 42.49, 945, 57.0, 233.0, 258.0, 42.49, 945, 350546, 0, 0, 0, 0, 0, 350546
800, 16163.5, 1, 49.24, 948, 86.0, 246.0, 271.0, 49.24, 948, 323270, 0, 0, 0, 0, 0, 323270
850, 16477.45, 2, 51.4, 1872, 86.0, 254.0, 277.0, 51.4, 1872, 329549, 0, 0, 0, 0, 0, 329549
900, 17667.3, 1, 50.59, 934, 78.0, 246.0, 273.0, 50.59, 934, 353346, 0, 0, 0, 0, 0, 353346
950, 16428.75, 0, 57.54, 1837, 165.0, 255.0, 285.0, 57.54, 1837, 328575, 0, 0, 0, 0, 0, 328575
1000, 16841.8, 0, 59.11, 1813, 239.0, 259.0, 284.0, 59.11, 1813, 336836, 0, 0, 0, 0, 0, 336836
