concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
50, 2267.9, 1, 22.0, 169, 31.0, 44.0, 79.0, 22.0, 169, 45358, 0, 0, 0, 0, 0, 45358
100, 3203.7, 3, 31.17, 123, 42.0, 44.0, 50.0, 31.17, 123, 64074, 0, 0, 0, 0, 0, 64074
150, 6350.45, 1, 23.57, 330, 38.0, 42.0, 55.0, 23.57, 330, 127009, 0, 0, 0, 0, 0, 127009
200, 8470.6, 2, 23.56, 94, 33.0, 34.0, 38.0, 23.56, 94, 169412, 0, 0, 0, 0, 0, 169412
250, 8424.95, 2, 29.62, 85, 36.0, 39.0, 44.0, 29.62, 85, 168499, 0, 0, 0, 0, 0, 168499
300, 8097.95, 1, 36.98, 504, 46.0, 49.0, 98.0, 36.98, 504, 161959, 0, 0, 0, 0, 0, 161959
350, 8810.85, 2, 39.65, 240, 50.0, 52.0, 57.0, 39.65, 240, 176217, 0, 0, 0, 0, 0, 176217
400, 9165.05, 2, 43.56, 273, 54.0, 57.0, 63.0, 43.56, 273, 183301, 0, 0, 0, 0, 0, 183301
450, 8309.0, 4, 53.98, 333, 83.0, 97.0, 113.0, 53.98, 333, 166180, 0, 0, 0, 0, 0, 166180
500, 8108.15, 2, 61.46, 300, 84.0, 91.0, 114.0, 61.46, 300, 162163, 0, 0, 0, 0, 0, 162163
550, 8546.45, 1, 64.19, 521, 79.0, 97.6, 247.0, 64.19, 521, 170929, 0, 0, 0, 0, 0, 170929
600, 8956.55, 4, 66.77, 515, 81.0, 88.0, 271.0, 66.77, 515, 179131, 0, 0, 0, 0, 0, 179131
650, 9026.6, 2, 71.77, 944, 86.0, 94.0, 281.0, 71.77, 944, 180532, 0, 0, 0, 0, 0, 180532
700, 8085.05, 2, 86.28, 537, 111.0, 171.0, 277.0, 86.28, 537, 161701, 0, 0, 0, 0, 0, 161701
750, 8861.2, 1, 84.37, 787, 99.0, 109.0, 303.0, 84.37, 787, 177224, 0, 0, 0, 0, 0, 177224
800, 8955.9, 3, 89.06, 534, 103.0, 109.0, 163.0, 89.06, 534, 179118, 0, 0, 0, 0, 0, 179118
850, 8479.95, 2, 99.85, 965, 117.0, 133.0, 307.0, 99.85, 965, 169599, 0, 0, 0, 0, 0, 169599
900, 8843.25, 11, 101.41, 1725, 117.0, 174.0, 327.0, 101.41, 1725, 176865, 0, 0, 0, 0, 0, 176865
950, 9004.35, 1, 105.12, 975, 121.0, 126.0, 279.0, 105.12, 975, 180087, 0, 0, 0, 0, 0, 180087
1000, 8358.2, 2, 119.2, 1020, 139.0, 181.0, 386.0, 119.2, 1020, 167164, 0, 0, 0, 0, 0, 167164
