concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
50, 437.05, 100, 114.1, 847, 124.0, 159.0, 244.6, 114.1, 847, 8741, 0, 0, 0, 0, 0, 8741
100, 955.7, 100, 104.33, 243, 108.0, 111.0, 131.0, 104.33, 243, 19114, 0, 0, 0, 0, 0, 19114
150, 1287.7, 100, 116.14, 504, 129.0, 173.0, 331.0, 116.14, 504, 25754, 0, 0, 0, 0, 0, 25754
200, 1740.0, 100, 114.45, 334, 134.0, 146.0, 178.0, 114.45, 334, 34800, 0, 0, 0, 0, 0, 34800
250, 2007.75, 100, 123.92, 364, 152.0, 166.0, 192.0, 123.92, 364, 40155, 0, 0, 0, 0, 0, 40155
300, 1737.75, 100, 171.89, 2003, 207.0, 243.3, 1230.0, 171.89, 2003, 34755, 0, 0, 0, 0, 0, 34755
350, 2278.85, 101, 153.01, 437, 201.0, 218.0, 250.0, 153.01, 437, 45577, 0, 0, 0, 0, 0, 45577
400, 2482.5, 101, 160.48, 491, 206.0, 223.0, 261.0, 160.48, 491, 49650, 0, 0, 0, 0, 0, 49650
450, 2390.4, 103, 187.56, 2039, 225.0, 255.0, 937.0, 187.56, 2039, 47808, 0, 0, 0, 0, 0, 47808
500, 2723.6, 103, 182.88, 520, 242.0, 265.0, 329.0, 182.88, 520, 54472, 0, 0, 0, 0, 0, 54472
550, 2681.7, 104, 204.19, 544, 277.0, 303.0, 379.0, 204.19, 544, 53634, 0, 0, 0, 0, 0, 53634
600, 2681.35, 112, 222.77, 647, 307.0, 339.0, 456.0, 222.77, 647, 53627, 0, 0, 0, 0, 0, 53627
650, 2776.45, 113, 232.98, 637, 317.0, 341.0, 455.72, 232.98, 637, 55529, 0, 0, 0, 0, 0, 55529
700, 2778.95, 114, 250.24, 695, 340.0, 363.0, 405.0, 250.24, 695, 55579, 0, 0, 0, 0, 0, 55579
750, 2660.35, 113, 279.44, 873, 380.0, 438.0, 628.0, 279.44, 873, 53207, 0, 0, 0, 0, 0, 53207
800, 2820.4, 129, 281.87, 837, 382.0, 407.0, 457.0, 281.87, 837, 56408, 0, 0, 0, 0, 0, 56408
850, 2791.25, 120, 302.13, 775, 402.0, 421.0, 467.0, 302.13, 775, 55825, 0, 0, 0, 0, 0, 55825
900, 2689.55, 120, 332.4, 873, 442.0, 509.0, 622.0, 332.4, 873, 53791, 0, 0, 0, 0, 0, 53791
950, 2812.2, 123, 335.45, 740, 434.0, 458.0, 541.57, 335.45, 740, 56244, 0, 0, 0, 0, 0, 56244
1000, 2813.1, 178, 352.7, 698, 452.0, 474.0, 512.0, 352.7, 698, 56262, 0, 0, 0, 0, 0, 56262
