concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
50, 414.3, 100, 120.31, 699, 156.0, 197.0, 311.3, 120.31, 699, 8286, 0, 0, 0, 0, 0, 8286
100, 881.4, 100, 113.12, 267, 127.0, 147.0, 195.0, 113.12, 267, 17628, 0, 0, 0, 0, 0, 17628
150, 1296.15, 100, 114.96, 235, 134.0, 153.0, 200.0, 114.96, 235, 25923, 0, 0, 0, 0, 0, 25923
200, 1573.25, 100, 126.67, 632, 164.0, 193.0, 281.36, 126.67, 632, 31465, 0, 0, 0, 0, 0, 31465
250, 1816.3, 100, 137.1, 395, 187.0, 215.0, 252.0, 137.1, 395, 36326, 0, 0, 0, 0, 0, 36326
300, 1926.85, 100, 154.4, 440, 221.0, 250.0, 289.0, 154.4, 440, 38537, 0, 0, 0, 0, 0, 38537
350, 1669.05, 100, 208.77, 1154, 334.0, 492.0, 752.0, 208.77, 1154, 33381, 0, 0, 0, 0, 0, 33381
400, 2205.35, 100, 180.51, 426, 259.0, 274.0, 305.0, 180.51, 426, 44107, 0, 0, 0, 0, 0, 44107
450, 2224.55, 100, 201.18, 1349, 297.0, 328.0, 368.0, 201.18, 1349, 44491, 0, 0, 0, 0, 0, 44491
500, 2137.0, 100, 231.69, 816, 361.0, 397.0, 477.0, 231.69, 816, 42740, 0, 0, 0, 0, 0, 42740
550, 2183.15, 100, 250.14, 684, 388.0, 415.0, 466.0, 250.14, 684, 43663, 0, 0, 0, 0, 0, 43663
600, 2222.2, 100, 267.72, 704, 428.0, 467.0, 537.0, 267.72, 704, 44444, 0, 0, 0, 0, 0, 44444
650, 2106.55, 101, 305.24, 903, 502.0, 555.0, 665.0, 305.24, 903, 42131, 0, 0, 0, 0, 0, 42131
700, 2135.25, 101, 324.74, 812, 516.0, 578.0, 657.0, 324.74, 812, 42705, 0, 0, 0, 0, 0, 42705
750, 2089.55, 111, 353.55, 872, 557.0, 613.0, 729.0, 353.55, 872, 41791, 0, 0, 0, 0, 0, 41791
800, 2037.9, 132, 387.99, 930, 601.0, 659.0, 749.0, 387.99, 930, 40758, 0, 0, 0, 0, 0, 40758
850, 2066.05, 108, 406.19, 852, 602.0, 653.0, 713.0, 406.19, 852, 41321, 0, 0, 0, 0, 0, 41321
900, 2087.0, 119, 427.0, 906, 610.0, 669.0, 755.61, 427.0, 906, 41740, 0, 0, 0, 0, 0, 41740
950, 2036.55, 128, 461.78, 1042, 668.0, 716.0, 810.0, 461.78, 1042, 40731, 0, 0, 0, 0, 0, 40731
1000, 2064.75, 143, 479.21, 996, 659.0, 721.0, 797.0, 479.21, 996, 41295, 0, 0, 0, 0, 0, 41295
