concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
30, 625.15, 4, 47.91, 2558, 73.0, 99.0, 180.0, 47.91, 2558, 12503, 0, 0, 0, 0, 0, 12503
60, 1438.85, 14, 41.62, 255, 57.0, 62.0, 74.0, 41.62, 255, 28777, 0, 0, 0, 0, 0, 28777
90, 2842.55, 15, 31.61, 100, 47.0, 53.0, 62.0, 31.61, 100, 56851, 0, 0, 0, 0, 0, 56851
120, 3357.5, 15, 35.68, 245, 46.0, 52.0, 62.0, 35.68, 245, 67150, 0, 0, 0, 0, 0, 67150
150, 3191.8, 18, 46.9, 88, 57.0, 61.0, 71.0, 46.9, 88, 63836, 0, 0, 0, 0, 0, 63836
180, 2770.2, 40, 64.83, 646, 72.0, 89.0, 234.0, 64.83, 646, 55404, 0, 0, 0, 0, 0, 55404
210, 2854.25, 39, 73.39, 285, 89.0, 123.0, 138.0, 73.39, 285, 57085, 0, 0, 0, 0, 0, 57085
240, 2870.7, 5, 82.71, 339, 102.0, 123.0, 144.0, 82.71, 339, 57414, 0, 0, 0, 0, 0, 57414
270, 2702.35, 63, 99.6, 838, 131.0, 144.0, 235.54, 99.6, 838, 54047, 0, 0, 0, 0, 0, 54047
300, 2864.05, 23, 104.42, 194, 140.0, 152.0, 164.0, 104.42, 194, 57281, 0, 0, 0, 0, 0, 57281
330, 2745.2, 24, 119.17, 397, 155.0, 165.0, 252.0, 119.17, 397, 54904, 0, 0, 0, 0, 0, 54904
360, 2730.2, 27, 131.45, 364, 172.0, 182.0, 254.97, 131.45, 364, 54604, 0, 0, 0, 0, 0, 54604
390, 2819.1, 38, 137.85, 399, 178.0, 185.0, 194.0, 137.85, 399, 56382, 0, 0, 0, 0, 0, 56382
420, 2481.55, 37, 161.5, 2287, 193.0, 203.0, 234.7, 161.5, 2287, 49631, 0, 0, 0, 0, 0, 49631
450, 2523.65, 114, 177.61, 1048, 217.0, 230.0, 554.0, 177.61, 1048, 50473, 0, 0, 0, 0, 0, 50473
480, 2595.5, 40, 183.94, 270, 227.0, 236.0, 251.0, 183.94, 270, 51910, 0, 0, 0, 0, 0, 51910
510, 2351.5, 45, 215.78, 1261, 249.0, 277.0, 937.71, 215.78, 1261, 47030, 0, 0, 0, 0, 0, 47030
540, 2596.65, 57, 206.73, 319, 254.0, 265.0, 284.0, 206.73, 319, 51933, 0, 0, 0, 0, 0, 51933
570, 2604.25, 94, 217.55, 432, 264.0, 279.0, 376.0, 217.55, 432, 52085, 0, 0, 0, 0, 0, 52085
600, 2259.7, 101, 263.86, 1750, 299.0, 325.0, 1114.0, 263.86, 1750, 45194, 0, 0, 0, 0, 0, 45194
