concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
30, 389.9, 19, 75.51, 11366, 117.0, 144.0, 225.03, 75.51, 11366, 7798, 0, 0, 0, 0, 0, 7798
60, 695.7, 15, 85.6, 8085, 85.0, 86.0, 90.0, 85.6, 8085, 13914, 0, 0, 0, 0, 0, 13914
90, 840.3, 9, 105.99, 12528, 103.0, 115.0, 195.95, 105.99, 12528, 16806, 0, 0, 0, 0, 0, 16806
120, 1154.2, 21, 103.52, 2482, 122.0, 127.0, 150.17, 103.52, 2482, 23084, 0, 0, 0, 0, 0, 23084
150, 1404.35, 32, 106.52, 718, 119.0, 123.0, 134.0, 106.52, 718, 28087, 0, 0, 0, 0, 0, 28087
180, 1781.05, 26, 100.78, 563, 112.0, 122.0, 225.8, 100.78, 563, 35621, 0, 0, 0, 0, 0, 35621
210, 1915.35, 23, 109.34, 373, 156.4, 183.0, 195.0, 109.34, 373, 38307, 0, 0, 0, 0, 0, 38307
240, 1911.15, 12, 125.19, 299, 192.0, 199.0, 209.0, 125.19, 299, 38223, 0, 0, 0, 0, 0, 38223
270, 1784.05, 43, 150.23, 809, 213.0, 222.0, 424.0, 150.23, 809, 35681, 0, 0, 0, 0, 0, 35681
300, 1894.8, 41, 157.3, 437, 225.0, 230.0, 237.0, 157.3, 437, 37896, 0, 0, 0, 0, 0, 37896
330, 1886.3, 32, 174.22, 447, 241.0, 247.0, 258.0, 174.22, 447, 37726, 0, 0, 0, 0, 0, 37726
360, 1731.6, 20, 206.86, 889, 265.0, 290.45, 630.14, 206.86, 889, 34632, 0, 0, 0, 0, 0, 34632
390, 1838.75, 49, 210.95, 466, 278.0, 282.0, 291.0, 210.95, 466, 36775, 0, 0, 0, 0, 0, 36775
420, 1874.45, 33, 222.81, 412, 287.0, 292.0, 312.0, 222.81, 412, 37489, 0, 0, 0, 0, 0, 37489
450, 1639.5, 30, 272.07, 1238, 330.0, 506.0, 823.0, 272.07, 1238, 32790, 0, 0, 0, 0, 0, 32790
480, 1828.6, 59, 259.75, 534, 330.0, 338.0, 357.0, 259.75, 534, 36572, 0, 0, 0, 0, 0, 36572
510, 1837.25, 63, 275.64, 432, 349.0, 358.0, 380.0, 275.64, 432, 36745, 0, 0, 0, 0, 0, 36745
540, 1721.9, 83, 311.29, 1446, 370.0, 384.0, 1159.0, 311.29, 1446, 34438, 0, 0, 0, 0, 0, 34438
570, 1796.4, 58, 314.64, 603, 383.0, 390.0, 417.73, 314.64, 603, 35928, 0, 0, 0, 0, 0, 35928
600, 1793.8, 26, 331.81, 622, 401.0, 408.0, 440.0, 331.81, 622, 35876, 0, 0, 0, 0, 0, 35876
