concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
50, 1332.65, 8, 37.46, 403, 61.0, 74.0, 113.48, 37.46, 403, 26653, 0, 0, 0, 0, 0, 26653
100, 1890.2, 2, 52.79, 322, 79.0, 92.0, 133.0, 52.79, 322, 37804, 0, 0, 0, 0, 0, 37804
150, 2099.9, 2, 71.24, 373, 75.0, 113.0, 139.0, 71.24, 373, 41998, 0, 0, 0, 0, 0, 41998
200, 2090.5, 5, 95.38, 435, 99.0, 104.0, 186.0, 95.38, 435, 41810, 0, 0, 0, 0, 0, 41810
250, 1945.3, 4, 128.06, 1200, 169.0, 232.0, 335.0, 128.06, 1200, 38906, 0, 0, 0, 0, 0, 38906
300, 2065.85, 6, 144.62, 305, 148.0, 150.0, 282.0, 144.62, 305, 41317, 0, 0, 0, 0, 0, 41317
350, 2060.75, 10, 169.02, 352, 173.0, 175.0, 329.0, 169.02, 352, 41215, 0, 0, 0, 0, 0, 41215
400, 1400.9, 2, 283.71, 1732, 586.0, 748.0, 874.0, 283.71, 1732, 28018, 0, 0, 0, 0, 0, 28018
450, 1861.45, 3, 240.04, 504, 246.0, 249.0, 467.0, 240.04, 504, 37229, 0, 0, 0, 0, 0, 37229
500, 1873.65, 5, 264.98, 550, 272.0, 274.0, 512.0, 264.98, 550, 37473, 0, 0, 0, 0, 0, 37473
550, 1761.6, 11, 309.67, 1204, 321.0, 507.0, 614.69, 309.67, 1204, 35232, 0, 0, 0, 0, 0, 35232
600, 1862.15, 3, 319.42, 791, 328.0, 333.0, 617.0, 319.42, 791, 37243, 0, 0, 0, 0, 0, 37243
650, 1852.0, 13, 347.74, 721, 356.0, 359.0, 615.1, 347.74, 721, 37040, 0, 0, 0, 0, 0, 37040
700, 1714.15, 3, 404.33, 1988, 401.0, 693.0, 1095.0, 404.33, 1988, 34283, 0, 0, 0, 0, 0, 34283
750, 1821.45, 13, 407.32, 860, 423.0, 427.0, 778.0, 407.32, 860, 36429, 0, 0, 0, 0, 0, 36429
800, 1787.8, 6, 442.19, 925, 457.0, 460.0, 499.0, 442.19, 925, 35756, 0, 0, 0, 0, 0, 35756
850, 1685.3, 10, 498.05, 1659, 643.0, 781.0, 892.95, 498.05, 1659, 33706, 0, 0, 0, 0, 0, 33706
900, 1797.8, 14, 493.82, 1201, 507.0, 516.0, 973.0, 493.82, 1201, 35956, 0, 0, 0, 0, 0, 35956
950, 1803.8, 10, 519.33, 1231, 534.0, 543.0, 1020.0, 519.33, 1231, 36076, 0, 0, 0, 0, 0, 36076
1000, 1676.4, 10, 587.91, 2113, 713.3, 1021.0, 1121.0, 587.91, 2113, 33528, 0, 0, 0, 0, 0, 33528
