concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
50, 919.55, 23, 54.22, 466, 72.0, 90.0, 133.0, 54.22, 466, 18391, 0, 0, 0, 0, 0, 18391
100, 1124.1, 6, 88.75, 350, 101.0, 105.0, 111.0, 88.75, 350, 22482, 0, 0, 0, 0, 0, 22482
150, 1414.25, 12, 105.7, 390, 128.0, 143.0, 212.0, 105.7, 390, 28285, 0, 0, 0, 0, 0, 28285
200, 1767.5, 4, 112.76, 404, 122.0, 125.0, 130.0, 112.76, 404, 35350, 0, 0, 0, 0, 0, 35350
250, 1792.25, 3, 138.9, 1193, 149.0, 153.0, 171.0, 138.9, 1193, 35845, 0, 0, 0, 0, 0, 35845
300, 1733.0, 7, 172.32, 742, 181.0, 220.0, 361.0, 172.32, 742, 34660, 0, 0, 0, 0, 0, 34660
350, 1782.1, 9, 195.34, 1243, 207.0, 214.0, 429.0, 195.34, 1243, 35642, 0, 0, 0, 0, 0, 35642
400, 1667.75, 7, 238.35, 723, 259.0, 271.0, 415.0, 238.35, 723, 33355, 0, 0, 0, 0, 0, 33355
450, 1341.0, 6, 333.21, 1945, 614.0, 816.0, 1002.0, 333.21, 1945, 26820, 0, 0, 0, 0, 0, 26820
500, 1652.95, 8, 300.19, 1270, 328.0, 349.0, 518.42, 300.19, 1270, 33059, 0, 0, 0, 0, 0, 33059
550, 1634.3, 9, 333.23, 1421, 355.0, 376.0, 552.0, 333.23, 1421, 32686, 0, 0, 0, 0, 0, 32686
600, 1632.35, 13, 364.16, 2686, 430.0, 552.0, 798.0, 364.16, 2686, 32647, 0, 0, 0, 0, 0, 32647
650, 1593.35, 9, 403.51, 1295, 434.0, 456.0, 571.0, 403.51, 1295, 31867, 0, 0, 0, 0, 0, 31867
700, 1468.3, 6, 470.74, 2422, 509.0, 641.0, 1690.0, 470.74, 2422, 29366, 0, 0, 0, 0, 0, 29366
750, 1598.0, 7, 463.65, 4543, 647.0, 740.0, 1099.0, 463.65, 4543, 31960, 0, 0, 0, 0, 0, 31960
800, 1539.65, 4, 512.5, 777, 538.0, 548.0, 592.0, 512.5, 777, 30793, 0, 0, 0, 0, 0, 30793
850, 1517.0, 10, 553.09, 1244, 608.0, 668.0, 853.0, 553.09, 1244, 30340, 0, 0, 0, 0, 0, 30340
900, 1581.55, 4, 560.46, 1506, 606.0, 652.5, 784.0, 560.46, 1506, 31631, 0, 0, 0, 0, 0, 31631
950, 1566.25, 6, 596.79, 1795, 633.0, 667.8, 758.76, 596.79, 1795, 31325, 0, 0, 0, 0, 0, 31325
1000, 1520.9, 11, 646.62, 1382, 707.0, 819.0, 1180.83, 646.62, 1382, 30418, 0, 0, 0, 0, 0, 30418
